set,number
JTG,1
JTG,2
JTG,3
JTG,4
JTG,5
JTG,8
JTG,9
JTG,12
JTG,13
JTG,16
JTG,17
JTG,18
JTG,20
JTG,21
JTG,26
JTG,27
JTG,31
JTG,32
JTG,33
JTG,34
JTG,35
JTG,36
JTG,37
JTG,40
JTG,41
JTG,47
JTG,48
JTG,49
JTG,52
JTG,53
JTG,54
JTG,55
JTG,56
JTG,58
JTG,59
JTG,60
JTG,61
JTG,62
JTG,63
JTG,64
JTG,66
JTG,67
JTG,68
JTG,77
JTG,78
JTG,79
JTG,80
JTG,81
JTG,82
JTG,83
JTG,84
JTG,85
JTG,86
JTG,87
JTG,90
JTG,91
JTG,92
JTG,95
JTG,96
JTG,97
JTG,98
JTG,99
JTG,102
JTG,103
JTG,104
JTG,105
JTG,107
JTG,108
JTG,111
JTG,112
JTG,113
JTG,114
JTG,115
JTG,116
JTG,117
JTG,118
JTG,119
JTG,120
JTG,121
JTG,127
JTG,128
JTG,129
JTG,133
JTG,134
JTG,135
JTG,136
JTG,138
JTG,146
JTG,147
JTG,148
JTG,149
JTG,150
JTG,151
JTG,152
JTG,153
JTG,154
JTG,156
JTG,157
JTG,158
JTG,159
JTG,160
JTG,161
JTG,162
JTG,163
JTG,164
JTG,165
JTG,166
JTG,167
JTG,168
JTG,169
JTG,170
JTG,171
JTG,172
JTG,173
JTG,174
JTG,175
JTG,176
JTG,177
JTG,178
JTG,179
JTG,180
JTG,181
JTG,182
JTG,183
JTG,184
JTG,185
JTG,186
JTG,187
JTG,188
JTG,189
JTG,190
SVP,181
SVP,182
SVP,183
SVP,184
SVP,189
SVP,193
